Keys,English [en-GB]
Consoles/,
Consoles/ACHIEVEMENT_DESC_001,Complete a scenario without any mercenary in your party exhausting
Consoles/ACHIEVEMENT_DESC_002,Complete a scenario in Normal difficulty or higher
Consoles/ACHIEVEMENT_DESC_003,Heal more than 60 hit points as a party in a scenario
Consoles/ACHIEVEMENT_DESC_004,Defeat the Bandit Commander in Campaign
Consoles/ACHIEVEMENT_DESC_005,Have the brute in your party use Push or Pull actions 6 or more times in a scenario
Consoles/ACHIEVEMENT_DESC_006,Have the Scoundrel in your party loot 14 or more gold piles in a scenario
Consoles/ACHIEVEMENT_DESC_007,Retire a mercenary
Consoles/ACHIEVEMENT_DESC_008,Defeat the Inox Bodyguards in Campaign
Consoles/ACHIEVEMENT_DESC_009,Defeat Jekserah in Campaign
Consoles/ACHIEVEMENT_DESC_010,Defeat the Colorless in Campaign
Consoles/ACHIEVEMENT_DESC_011,Defeat the Prime Demon in Campaign
Consoles/ACHIEVEMENT_DESC_012,Defeat the Merciless Overseer in Campaign
Consoles/ACHIEVEMENT_DESC_013,Defeat the Sightless Eye in Campaign
Consoles/ACHIEVEMENT_DESC_014,Have a party of 4 mercenaries with at least one enhanced card each
Consoles/ACHIEVEMENT_DESC_015,Defeat the Winged Horror in Campaign
Consoles/ACHIEVEMENT_DESC_016,Defeat the Dark Rider in Campaign
Consoles/ACHIEVEMENT_DESC_017,Defeat the Betrayer
Consoles/ACHIEVEMENT_DESC_018,Defeat the Captain of the Guard in Campaign
Consoles/ACHIEVEMENT_DESC_019,Win a scenario dealing no Melee damage
Consoles/ACHIEVEMENT_DESC_020,Have a mercenary in your party deal more than 200 damage in a scenario
Consoles/ACHIEVEMENT_DESC_021,Give 10 or more Medical Packs or Large Medical Packs in a scenario
Consoles/ACHIEVEMENT_DESC_022,Defeat the Elder Drake in Campaign
Consoles/ACHIEVEMENT_DESC_023,Unlock all the mercenaries in a single campaign
Consoles/ACHIEVEMENT_DESC_024,Defeat the Gloom in Campaign
Consoles/ACHIEVEMENT_DESC_025,Complete a scenario without any mercenary in your party killing an enemy
Consoles/ACHIEVEMENT_DESC_026,Complete a Job mission in Brutal difficulty or higher
Consoles/ACHIEVEMENT_DESC_027,Defeat the High Cultist in Guildmaster
Consoles/ACHIEVEMENT_DESC_028,Defeat the Undead Commander in Guildmaster
Consoles/ACHIEVEMENT_DESC_029,"Complete ""It's all just a game"" scenario in Guildmaster"
Consoles/ACHIEVEMENT_DESC_030,Win a scenario with only mercenaries from Jaws of the Lion in your party
Consoles/ACHIEVEMENT_DESC_031,Defeat the Blood Tumor in the Jaws of the Lion
Consoles/ACHIEVEMENT_DESC_032,Defeat the Blood Horror in the Jaws of the Lion
Consoles/ACHIEVEMENT_DESC_033,Defeat the First of the Order in the Jaws of the Lion
Consoles/ACHIEVEMENT_DESC_034,Loot all the treasure chests from Jaws of the Lion scenarios
Consoles/ACHIEVEMENT_DESC_035,Complete all Jaws of The Lion side scenarios
Consoles/ACHIEVEMENT_DESC_036,Attack for 20 or more damage in a single attack and complete a scenario
