Keys,"English [en-GB]"
EVENT_ROAD_CAMPAIGN_66_OPTION_A,"Take cover."
EVENT_ROAD_CAMPAIGN_66_OPTION_B,"Attack the Inox. "
EVENT_ROAD_CAMPAIGN_66_RESULT_A,"You jump into a ditch and cover your head just as the Elder Drake glides over the raiding party, breathing a heavy gout of flame into their midst. Those not incinerated scream and flee for their lives. The drake lands in front of you.

“Intrepid adventurers! I hope I was able to offer you some aid against your aggressors. It really was my pleasure after all you have done for me. I hope you find some things of value among the corpses. It is my gift to you.”"
EVENT_ROAD_CAMPAIGN_66_RESULT_B,"You attack the large group of Inox while they are distracted by giant creature above you. Things suddenly get very hot, however, when the drake begins spitting fire into the melee. The Inox scatter and you are suffering from severe burns when the Elder Drake lands in front of you.

“My apologies. I was only trying to help.”"
EVENT_ROAD_CAMPAIGN_67_INTRO,"Not too far down the main road outside of Gloomhaven, you run across a merchant wagon headed into town.

“Ah, I was afraid for a second you might be bandits!” The merchant says. “But now I see you are mercenaries from the town, correct? Most excellent! I have heard good things about the mercenaries of Gloomhaven. Hard to believe, coming from such a backwater place, but they are true, correct?”"
EVENT_ROAD_CAMPAIGN_67_OPTION_A,"Demonstrate your virtue by offering to escort the merchant back to Gloomhaven."
EVENT_ROAD_CAMPAIGN_67_OPTION_B,"Demonstrate your lack of virtue by robbing the merchant."
EVENT_ROAD_CAMPAIGN_67_RESULT_A,"“Ah, well...no, I don’t want to be a bother. But, I mean, yes, I can’t pay you, though I’d love the company. It is rather terrifying traveling the East Road by yourself.”

It is a relatively short journey back to town, but the merchant is very grateful. “I am quite impressed, sirs. I’ll be sure to tell everyone back in the capital that Gloomhaven is a safe place to do business.”"
EVENT_ROAD_CAMPAIGN_67_RESULT_B,"“Well, I just—I mean, I’d never...” the merchant trails off incredulously. “To think there are places in the world where such barbarism still exists. It boggles the mind.

“I’m going to tell everyone back in the Capital what a horrible, backward shrrggggllg...” Blood bubbles up into his mouth as you slit his throat, making it very difficult for him to continue complaining."
EVENT_ROAD_CAMPAIGN_68_INTRO,"Not too far down the main road outside of Gloomhaven, you run across a merchant wagon headed into town.

“Oh no...ah, mercenaries, I see,” the merchant stammers as you approach. “Look, ah, I know the reputation of your like around Gloomhaven. Please, just take what you want and move on. I-I don’t want any trouble.”"
EVENT_ROAD_CAMPAIGN_68_OPTION_A,"Take what you want and move on."
EVENT_ROAD_CAMPAIGN_68_OPTION_B,"Calm the merchant and explain that not all mercenaries are bloodthirsty thieves. "
EVENT_ROAD_CAMPAIGN_68_RESULT_A,"The merchant remains dead silent as you sift through his cart and pull out any valuables. There’s not a whole lot in his wares, but the ease in which you are able to take what he has makes it all the sweeter.

Once you are finished, you continue on your way and he continues on his."
EVENT_ROAD_CAMPAIGN_68_RESULT_B,"“Oh, ah, really?” The merchant looks at you incredulously. “Well then, color me embarrassed. I sincerely apologize for my uneducated assumptions. Sometimes you just expect the worst traveling to such backwater locales.

“I’ll be sure to tell everyone I see that not everyone in Gloomhaven is a criminal,” he says as he rides off, tipping his hat to you."
EVENT_ROAD_CAMPAIGN_69_INTRO,"Walking along the trail, you are surprised by a group of demons who appear to your left, charging over a hill toward you. Something is off, however. Their pace is slow, and they are significantly smaller than the demons you normally deal with.

Halfway down the hill, the demons pause and take stock of you. Seeing you are far from easy prey, they turn around and begin to retreat."
EVENT_ROAD_CAMPAIGN_69_OPTION_A,"Chase them down quickly and kill them."
EVENT_ROAD_CAMPAIGN_69_OPTION_B,"Follow them more slowly, attempting to discover where they came from. "
EVENT_ROAD_CAMPAIGN_69_RESULT_A,"You roar and charge up the hill. The demons are no match for you, either in speed or in strength. You kill them quickly but painfully."
EVENT_ROAD_CAMPAIGN_69_RESULT_B,"You creep slowly to the crest of the hill, watching as the demons retreat to the south. You follow them, eventually arriving at a weak, fluctuating rift in a small, earthen cave. Having experienced enough planar manipulation in your travels, you are able to mutter a few incantations and close the rift. It takes a lot out of you, but now there is one less way for demons to invade this plane."
EVENT_ROAD_CAMPAIGN_6_INTRO,"Stumbling through the woods, you are alarmed to hear the sudden sounds of a large animal rummaging through the underbush. You crouch down, gauging the grunts and growls. 

Through the trees, you see a large bear approaching your location. It has not noticed you yet, but you imagine it will soon. "
EVENT_ROAD_CAMPAIGN_6_OPTION_A,"Take the opportunity to run from the bear before it gets any closer."
EVENT_ROAD_CAMPAIGN_6_OPTION_B,"Attack the bear, hopefully catching it by surprise. "
EVENT_ROAD_CAMPAIGN_6_RESULT_A,"You bolt from hiding as fast as you can. Luckily the bear was still a ways off, and it gets bored with the chase before it can catch you. Still, you keep running and running until you can't catch your breath.  "
EVENT_ROAD_CAMPAIGN_6_RESULT_B,"The bear roars as you approach, making powerful swipes with its claws. Still, with the surprise and the commotion, the bear is not all that committed to the fight. After a bit of back and forth, the animal grunts and runs off into the trees. "
