Keys,"Солов'їна [ua-UA]"
Demolitionist,"Підривник"
Hatchet,"Рубака"
RedGuard,"Багряний Страж"
Voidwarden,"Пустковартова"
BlackSludge,"Чорний Слиз"
BlackSludgeElite,"Елітний Чорний Слиз"
BloodImp,"Кривавий Біс"
BloodImpElite,"Елітний Кривавий Біс"
BloodMonstrosity,"Кривочуд"
BloodMonstrosityElite,"Елітний Кривочуд"
ChaosDemon,"Демон Хаосу"
ChaosDemonElite,"Елітний Демон Хаосу"
RatMonstrosity,"Щурочудовисько"
RatMonstrosityElite,"Елітне Щурочудовисько"
VermlingRaider,"Вермлінг-нападник"
VermlingRaiderElite,"Елітний Вермлінг-нападник"
Zealot,"Фанатик"
ZealotElite,"Елітний Фанатик"
FilthySludge,"Брудний Слиз"
BloodHorror,"Кривавий Жах"
BloodTumor,"Кривава Пухлина"
FirstOfTheOrder,"Глава Ордену"
CrowdMember,"Уболівальник"
EntropyDemon,"Демон Ентропії"
EntropyDemonElite,"Елітний Демон Ентропії"
Ward,"Оберіг"
Pillar,"Стовп"
SummonAbility_WardDisadvantage,"Усі вороги в межах <nobr>Дальності <sprite name=Range> 3</nobr> від Оберега отримують Ускладнення на всі свої атаки, не надані Пустковартовою."
SummonAbility_WardPoison,"Усі вороги, які заходять на сусідній з Оберегом гекс, отримують <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>."
Target_OneAdjacentAlly,"Ціль: один сусідній союзник"
Target_AllEnemiesAdjacentToHexesMovedThrough,"Ціль: усі вороги, суміжні з будь-яким гексом, через який здійснено рух"
Xis_Shield,"де X — ваше поточне значення Щита."
JOTL_010_T,"Ви можете додати <nobr>+3 до Атаки <sprite name=Attack></nobr> до однієї цілі будь-якої вашої дальньої атаки, позначивши її вашим Фаворитом. Коли ця ціль гине, вона впускає вашого Фаворита. Якщо ви здобуваєте цей гекс, поверніть вашого Фаворита до цієї активної здібності."
JOTL_011_T,"Якщо ціль має вашого Фаворита, поверніть його до її активної здібності."
JOTL_015_B,"Подвойте значення вашої наступної атаки в цьому раунді."
JOTL_016_B_1,"Усі сусідні вороги зазнають 1 шкоди."
JOTL_016_B_2,"Усі сусідні вороги зазнають 2 шкоди."
JOTL_018_T,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ціль має вашого Фаворита."
JOTL_019_B,"Додайте <nobr>+2 до Руху <sprite name=Move></nobr> та отримайте <sprite name=XP1>, якщо ви вбили ворога в цьому раунді."
JOTL_020_T,"Ціль: один союзник, сусідній з ціллю атаки"
JOTL_021_B,"Для ваших наступних чотирьох здібностей Руху додайте <nobr>+2 до Руху <sprite name=Move></nobr>."
JOTL_022_B,"Додайте <nobr>+1 до Атаки <sprite name=Attack></nobr> до всіх ваших атак у цьому раунді."
JOTL_023_T,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ціль має вашого Фаворита."
JOTL_024_T,"Ціль: інший ворог у межах <nobr>Дальності <sprite name=Range> 2</nobr> від цілі попередньої здібності Атаки"
JOTL_024_B,"Під час ваших наступних чотирьох атак, коли це можливо, один ворог, суміжний з ціллю, зазнає 2 шкоди."
JOTL_025_T,"Якщо ця атака вбиває ціль, один ворог, суміжний із гексом, у якому вона загинула, зазнає X шкоди, де X — кількість шкоди, яку ціль отримала б понад необхідну для її вбивства."
JOTL_025_B,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ви вбили ворога в цьому раунді."
JOTL_026_T,"Для ваших наступних п'яти атак додайте <nobr>+1 до Атаки <sprite name=Attack></nobr> та <nobr>РАНУ <sprite name=Wound></nobr>."
JOTL_027_T,"Якщо сусідній ворог має вашого Фаворита, ви можете повернути його до своєї активної здібності. Якщо ви це зробите, сусідній ворог зазнає 2 шкоди та отримує <nobr>РАНУ <sprite name=Wound></nobr>."
JOTL_027_B,"Додайте <nobr>ПОСИЛЕННЯ <sprite name=Strengthen></nobr> та отримайте <sprite name=XP1>, якщо ви вбили ворога в цьому раунді."
JOTL_028_B,"У наступні п'ять разів, коли ворог завершує здібність Руху в межах <nobr>Дальності <sprite name=Range> 5</nobr>, виконайте дію «<nobr>Атака <sprite name=Attack> 2</nobr>, <nobr>Дальність <sprite name=Range> 5</nobr>», спрямовану на цього ворога."
JOTL_030_T,"Ви можете додати <nobr>+3 до Атаки <sprite name=Attack></nobr>, <nobr>РАНУ <sprite name=Wound></nobr> та <nobr>ПОШТОВХ <sprite name=Push> 1</nobr> до однієї цілі будь-якої вашої дальньої атаки, позначивши її вашим Фаворитом. Коли ця ціль гине, вона впускає вашого Фаворита. Якщо ви здобуваєте цей гекс, поверніть вашого Фаворита до цієї активної здібності. Ця карта не може бути активною, поки активна здібність «Фаворит»."
JOTL_031_B,"Усі сусідні вороги зазнають 1 шкоди."
JOTL_032_B,"Якщо ваш Фаворит перебуває у вашому гексі або суміжний з ним, ви можете виконати"
JOTL_033_T,"Для ваших наступних п'яти атак, спрямованих на ворога, який має вашого Фаворита, додайте <nobr>+2 до Атаки <sprite name=Attack></nobr>."
JOTL_034_T,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ціль має вашого Фаворита, а потім поверніть жетон на його карту."
JOTL_035_B,"У наступні п'ять разів, коли ви вбиваєте ворога, усі вороги, суміжні з гексом його загибелі, зазнають 2 шкоди."
JOTL_036_B,"Додайте <nobr>+2 до Атаки <sprite name=Attack></nobr> до вашої наступної атаки в цьому ходу, якщо ви суміжні з союзником."
JOTL_037_T,"Один сусідній звичайний або елітний ворог зазнає 12 шкоди."
JOTL_037_B,"Якщо ви вбили ворога в цьому раунді, поверніть вашого Фаворита до його активної здібності та отримайте <sprite name=XP1>."
JOTL_038_B,"У наступні чотири рази, коли ви вбиваєте ворога, виконайте дію «<nobr>Лікування <sprite name=Heal> 3</nobr>, <nobr>Дальність <sprite name=Range> 2</nobr>, <nobr>БЛАГОСЛОВЕННЯ <sprite name=Bless></nobr>»."
